,name,area,cusines,delivery time,rating,cost_for_two
1,VEG MIKI MOMO,Khar West,['Chinese'],30,--,₹1 FOR TWO
2,Roti Factory,Juhu,['North Indian'],33,--,₹100 FOR TWO
3,Doll-Ups Natural Ice Cream,Bandra West,"['Ice Cream', 'Desserts']",34,--,₹100 FOR TWO
4,CPAAN,Andheri East,['Indian'],35,4.6,₹100 FOR TWO
5,One By Two,Chembur,['Chinese'],35,4.2,₹100 FOR TWO
6,Bombay Xpress,GHATKOPAR EAST,"['Chinese', 'Fast Food', 'Indian']",46,--,₹100 FOR TWO
7,Trivedi Paan House,Ghatkopar East,['Indian'],42,4.4,₹100 FOR TWO
8,CAFE IRANI,Andheri West,"['Beverages', 'Street Food']",47,4.5,₹100 FOR TWO
9,NIC Ice Creams,Bandra West,"['Ice Cream', 'Desserts']",20,4.8,₹120 FOR TWO
10,Grameen Kulfi,Bandra West,"['Ice Cream', 'Desserts']",21,4.9,₹120 FOR TWO
11,New Shalimar Cold Drink House,Marol Sakinaka,"['Desserts', 'South Indian', 'Pizzas', 'Fast Food', 'Juices', 'Snacks']",40,4.0,₹120 FOR TWO
12,Moussestruck,Ghatkopar West,"['Desserts', 'Snacks', 'Bakery']",41,4.7,₹120 FOR TWO
13,FOOD INNS FAST FOOD,Saki Naka,"['Snacks', 'Burgers', 'Pizzas']",42,2.6,₹148 FOR TWO
14,Momo Mafia,Samadhan Society Svp Nagar,"['Snacks', 'Beverages']",50,--,₹149 FOR TWO
15,Go Zero - Guilt Free Ice Creams,Nehru Road,"['Ice Cream', 'Desserts']",24,--,₹150 FOR TWO
